name,type,level,recipe
Poitrine de Glourson fumée,Viande comestible,200,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Poitrine de Glourson conservée']"
Poitrine de Glourséleste fumée,Viande comestible,200,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Poitrine de Glourséleste conservée']"
Serviette égarée,Objet utilisable,200,[]
Bouteille de Cocalane,Boisson,200,[]
Parchemin de Diamant,Parchemin d'expérience,200,[]
Bavette de Bléro au Frostiz,Viande comestible,190,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Bavette de Bléro conservée']"
Bavette de Xa au Frostiz,Viande comestible,190,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Bavette de Xa conservée']"
Bifstèque de Tengu Givrefoux,Viande comestible,180,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Tengu Givrefoux conservée']"
Bifstèque de Givrefoux,Viande comestible,180,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Givrefoux conservée']"
Entrecôte de Crocodaille **,Viande comestible,170,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Crocodaille Conservée **']"
Chair de Mansot Royal grillée,Viande comestible,170,"['Dose de jus goûtu', 'Citron', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Chair de Mansot Royal conservée']"
Entrecôte de Crocodaille ****,Viande comestible,170,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Crocodaille Conservée ****']"
Cuisse de Royalmouth rôtie,Viande comestible,150,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Cuisse de Royalmouth conservée']"
Entrecôte de Kanigrou ****,Viande comestible,140,"['Mesure de sel', 'Huile à frire', 'Feuille de Salace', 'Mesure de Poivre', 'Sang infecté', 'Viande de Kanigrou Conservée ****']"
Salade de Museau ***,Viande comestible,120,"['Noisette', 'Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Feuille de Salace', 'Oignon', 'Mesure de Poivre', 'Museau Conservé ***']"
Filet de Koalak,Viande comestible,120,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Koalak Conservée']"
Carré de viande cuit,Viande comestible,120,"['Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Carré de viande conservé']"
Chair de Mansot grillée,Viande comestible,120,"['Dose de jus goûtu', 'Citron', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Chair de Mansot conservée']"
Potion Bulbique,Potion,110,"['Farine de Riz', 'Feuille de Kaliptus', 'Fleur de Kaliptus', 'Bulbe Kouraçao', 'Bulbe Malibout', 'Bulbe Passaoh', 'Bulbe Morito']"
Pain Trépide,Pain,100,"['Levure de Boulanger', 'Huile de Sésame', 'Farine de Malt', 'Farine de Houblon', 'Farine de Xavier le Boulanger', 'Une fiole de Pandapiler', 'Viande de Crocodaille']"
Potion Torboyo,Potion,100,"['Feuille de Menthe Sauvage', 'Fleur de Chanvre', 'Grande fiole', 'Cerise', 'Perce-Neige', 'Oreille de Bouftonmouth', 'Oreille percée du Fricochère', 'Oreille de Kaniglou']"
Essence de bosquet,Potion,100,"['Potion de Vieillesse', 'Potion de Souvenir', 'Planche en Charme', 'Planche en Merisier', 'Planche en Oliviolet', 'Planche en Bambou Sombre', 'Planche en Bois de Kaliptus']"
Eau de la Fontaine de Noffoub,Potion,100,[]
Pain de Frostiz soufflé,Pain,100,"['Levure de Boulanger', 'Eau', ""Farine d'Orge"", 'Farine de Malt', 'Farine de Houblon', 'Farine Paysanne', 'Farine de Xavier le Boulanger', 'Farine de Frostiz soufflé']"
Poisskaille en fricassée,Poisson comestible,100,"['Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Poisskaille vidé']"
Coffre Vorace endormi,Objet utilisable,100,[]
Fiole de Chichala,Potion,100,"[""Patte d'Arakne"", 'Oeuf de Tofu', 'Fleur de Chanvre', 'Edelweiss', 'Grande fiole', 'Fleur de Kaliptus', 'Poils de Kerubim', 'Plume de Dolivar']"
Plat de Filtounga,Viande comestible,100,[]
Plume Vibrante de mansot,Objet utilisable,100,[]
Cuisse de Boufmouth rôtie,Viande comestible,100,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Cuisse de Boufmouth conservée']"
Potion Raide Rêve,Potion,100,"['Feuille de Menthe Sauvage', 'Trèfle à 5 feuilles', 'Fleur de Lin', 'Fleur de Chanvre', 'Orchidée Freyesque', 'Edelweiss', 'Potion de Vieillesse', 'Perce-Neige']"
Essence de forêt,Potion,100,"['Potion de Vieillesse', 'Planche en Ebène', 'Planche en Erable', 'Planche en Merisier', 'Planche en Oliviolet', 'Planche en Bambou Sombre', 'Planche en Bois de Kaliptus', 'Planche en Tremble']"
Pain Tahde,Pain,100,"['Farine de Blé', 'Levure de Boulanger', 'Eau', ""Farine d'Avoine"", 'Farine Blanche', 'Farine Bise', 'Farine Complète', ""Viande d'Oiseau""]"
Potion Étoilée,Potion,100,"['Orchidée Freyesque', 'Edelweiss', 'Potion de Vieillesse', 'Perce-Neige', 'Oreille de Bouftonmouth', 'Oreille percée du Fricochère', 'Oreille de Kaniglou', 'Etoile des neiges']"
Poisskaille Givré en ragoût,Poisson comestible,100,"['Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Huile à frire', 'Feuille de Salace', 'Oignon', 'Mesure de Poivre', 'Poisskaille Givré vidé']"
Pain de Frostiz,Pain,100,"['Levure de Boulanger', 'Eau', ""Farine d'Orge"", 'Farine de Malt', 'Farine de Houblon', 'Farine Paysanne', 'Farine de Xavier le Boulanger', 'Farine de Frostiz']"
Poisskaille Givré en fricassée,Poisson comestible,100,"['Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Poisskaille Givré vidé']"
Pâté impérial,Viande comestible,100,"['Huile à frire', 'Feuille de Salace', 'Oignon', 'Viande de Rat Bougri conservée', 'Viande de Chachachovage conservée', 'Viande de Gélikan conservée', 'Chair de Crabe Hijacob conservée']"
Potion d'altération,Potion,100,"['Os de Chafer', 'Noix de Cajou', 'Fleur de Lin', 'Farine Paysanne', 'Orchidée Freyesque', 'Goujon', 'Patte de Wabbit', 'Potion de Copeaux de Bois Solides']"
Essence de bocage,Potion,100,[]
Pain Gre,Pain,80,"['Levure de Boulanger', 'Eau', ""Farine d'Orge"", ""Farine d'Avoine"", 'Farine Blanche', 'Farine Bise', 'Farine Paysanne']"
Entrecôte de Kanigrou **,Viande comestible,80,"['Mesure de sel', 'Huile à frire', 'Feuille de Salace', 'Mesure de Poivre', 'Sang infecté', 'Viande de Kanigrou Conservée **']"
Entrecôte de Kanigrou,Viande comestible,80,"['Mesure de sel', 'Huile à frire', 'Feuille de Salace', 'Mesure de Poivre', 'Sang infecté', 'Viande de Kanigrou Conservée']"
Entrecôte de Crocodaille,Viande comestible,70,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Mesure de Poivre', 'Sang infecté', 'Viande de Crocodaille Conservée']"
Brioche Dorée,Pain,60,[]
Cocawotte,Potion de téléportation,60,[]
Pain aux Céréales,Pain,60,[]
Sang de Likrone,Potion,60,[]
Potion Eau de fée,Potion,60,"['Fleur de Lin', 'Fleur de Chanvre', 'Orchidée Freyesque', 'Edelweiss', 'Grande fiole', 'Cerise']"
Pain aux Céréales,Pain,60,"['Farine de Blé', 'Levure de Boulanger', 'Eau', ""Farine d'Orge"", 'Farine de Seigle', ""Farine d'Avoine""]"
Le Saut Sifflard,Objet utilisable,60,[]
Rougely,Friandise,58,['Gelée à la Fraise']
Vertgely,Friandise,56,['Gelée à la Menthe']
Blugely,Friandise,54,['Gelée Bleutée']
Potion d'oubli : Invocation de Chaferfu,Potion d'oubli de sort,50,[]
Potion d'oubli : Invocation d'Arakne,Potion d'oubli de sort,50,[]
Potion de Croque-mort,Potion de conquête,50,"['Champignon', 'Dent de Wabbit', 'Gland', 'Fleur de Lin', 'Potion de Copeaux de Bois Solides']"
Potion d'invocation de Percepteur,Potion de conquête,50,"['Coquille de Dragoeuf Blanc', 'Pétale de Rose Démoniaque', 'Fibre de Lin', 'Tissu Invisible', 'Crocs de Rats', 'Peau de Larve Dorée', 'Graine de la Discorde', 'Chope vide']"
Apéwicube,Objet utilisable,50,[]
Potion de Vigile,Potion de conquête,50,[]
Potion de Guérisseur,Potion de conquête,50,"['Aile du Tofu Maléfique', 'Côtes du Rib', 'Poils du Milimilou', 'Oreille de Kanigrou', 'Pétale de Blop']"
Parchemin Doré,Parchemin d'expérience,50,[]
Pain aux Noix,Pain,40,"['Farine de Blé', 'Levure de Boulanger', 'Eau', 'Noix de Cajou', 'Noix de Pécan']"
Pain des Champs,Pain,40,"['Farine de Blé', 'Levure de Boulanger', 'Eau', 'Farine de Malt', 'Farine de Lin']"
Potion Raide Boule,Potion,40,"['Feuille de Menthe Sauvage', 'Trèfle à 5 feuilles', 'Orchidée Freyesque', 'Edelweiss', 'Potion de Vieillesse']"
Cawotte pouwwite,Objet utilisable,40,[]
Abragland,Objet utilisable,33,[]
Blopisier empoisonné,Pain,30,[]
Moumoules frites,Viande comestible,30,[]
Parchemin d'Ivoire,Parchemin d'expérience,25,[]
Nisitik Miditik,Objet utilisable,21,[]
Cawotte Maudite,Objet utilisable,21,[]
Pain aux Grains de Poivre,Pain,20,"['Farine de Blé', 'Levure de Boulanger', 'Eau', 'Mesure de Poivre']"
Pain aux Graines de Lin,Pain,20,"['Farine de Blé', 'Levure de Boulanger', 'Eau', 'Graine de Lin']"
Pain aux Noisettes,Pain,20,"['Farine de Blé', 'Levure de Boulanger', 'Eau', 'Noisette']"
Pain au Blé Complet,Pain,20,"['Farine de Blé', 'Levure de Boulanger', 'Blé', 'Eau']"
Briochette,Pain,20,"['Levure de Boulanger', 'Eau', 'Oeuf de Tofu', 'Farine de Houblon']"
Briochette magique,Pain,20,"['Levure de Boulanger', 'Eau', 'Oeuf de Tofu', 'Farine de Houblon Magique']"
Fiole de Soin supérieure,Potion,20,"['Trèfle à 5 feuilles', 'Edelweiss', 'Tube longiforme', 'Cerise']"
Pain aux Graines de Sésame,Pain,20,"['Levure de Boulanger', 'Graine de Sésame', 'Eau', 'Farine Blanche']"
Potion Pahoa Raide,Potion,20,[]
Cervelle de vampire,Objet utilisable,20,[]
Pain de Seigle,Pain,20,"['Levure de Boulanger', 'Eau', 'Farine de Seigle', 'Seigle']"
Brioche à la viande de bouftou,Pain,20,"['Mesure de sel', 'Cuisse de Bouftou **', 'Mesure de Poivre', 'Briochette']"
Grande Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,15,[]
Grande Fée d'Artifice Rouge Virevoltante,Fée d'artifice,15,[]
Grande Fée d'Artifice Verte Virevoltante,Fée d'artifice,15,[]
Grande Fée d'Artifice Bleue Virevoltante,Fée d'artifice,15,[]
Grande Fée d'Artifice Jaune Virevoltante,Fée d'artifice,15,[]
Fée d'Artifice Verte Virevoltante,Fée d'artifice,14,[]
Fée d'Artifice Bleue Virevoltante,Fée d'artifice,14,[]
Fée d'Artifice Rouge Virevoltante,Fée d'artifice,14,[]
Fée d'Artifice Jaune Virevoltante,Fée d'artifice,14,[]
Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,14,[]
Petite Fée d'Artifice Bleue  Virevoltante,Fée d'artifice,13,[]
Petite Fée d'Artifice Verte Virevoltante,Fée d'artifice,13,[]
Petite Fée d'Artifice Jaune Virevoltante,Fée d'artifice,13,[]
Petite Fée d'Artifice Rouge Virevoltante,Fée d'artifice,13,[]
Petite Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,13,[]
Grande Fée d'Artifice Bleue Crépitante,Fée d'artifice,12,[]
Grande Fée d'Artifice Rouge Crépitante,Fée d'artifice,12,[]
Grande Fée d'Artifice Verte Crépitante,Fée d'artifice,12,[]
Grande Fée d'Artifice Multicolore Crépitante,Fée d'artifice,12,[]
Grande Fée d'Artifice Jaune Crépitante,Fée d'artifice,12,[]
Fée d'Artifice Rouge Crépitante,Fée d'artifice,11,[]
Fée d'Artifice Bleue Crépitante,Fée d'artifice,11,[]
Fée d'Artifice Verte Crépitante,Fée d'artifice,11,[]
Fée d'Artifice Jaune Crépitante,Fée d'artifice,11,[]
Fée d'Artifice Multicolore Crépitante,Fée d'artifice,11,[]
Pain Doré,Pain,10,"['Levure de Boulanger', 'Eau', 'Farine de Blé Magique']"
Parchemin lié,Parchemin de recherche,10,[]
Lot de cinquante parchemins vierges,Parchemin de recherche,10,[]
Essence martiale,Potion Cosmétique,10,[]
Pain aux Flocons d'Avoine,Pain,10,"['Levure de Boulanger', 'Eau', ""Farine d'Avoine""]"
Pain de Seigle Résistant,Pain,10,"['Levure de Boulanger', 'Eau', 'Farine de Seigle Magique']"
Petite Fée d'Artifice Bleue Crépitante,Fée d'artifice,10,[]
Petite Fée d'Artifice Jaune Crépitante,Fée d'artifice,10,[]
Fiole de Soin,Potion,10,"['Feuille de Menthe Sauvage', 'Orchidée Freyesque', 'Tube longiforme', 'Cerise']"
Petite Fée d'Artifice Multicolore Crépitante,Fée d'artifice,10,[]
Parchemin vierge,Parchemin de recherche,10,[]
Potion de Relai de diligence,Potion de téléportation,10,"['Ailes de Moskito', 'Orge']"
Essence de Pwak,Potion Cosmétique,10,[]
Potion Ghetto Raide,Potion,10,"['Feuille de Menthe Sauvage', 'Trèfle à 5 feuilles', 'Potion de Vieillesse']"
Pain des Villes,Pain,10,"['Eau', 'Malt', 'Farine de Malt']"
Lot de dix parchemins vierges,Parchemin de recherche,10,[]
Ordre d'exécution.,Parchemin de recherche,10,[]
Gaufrette Dorée,Pain,10,"['Levure de Boulanger', 'Eau', 'Farine de Xavier le Boulanger', 'Pastèque']"
Potion de Rappel Astrubienne,Potion de téléportation,10,[]
Pain aux Flocons d'Avoine Aurifère,Pain,10,"['Levure de Boulanger', 'Eau', ""Farine d'Avoine Aurifère""]"
Petite Fée d'Artifice Rouge Crépitante,Fée d'artifice,10,[]
Petite Fée d'Artifice Verte Crépitante,Fée d'artifice,10,[]
Grande Fée d'Artifice Bleue Fontaine,Fée d'artifice,9,[]
Grande Fée d'Artifice Rouge Fontaine,Fée d'artifice,9,[]
Grande Fée d'Artifice Verte Fontaine,Fée d'artifice,9,[]
Grande Fée d'Artifice Jaune Fontaine,Fée d'artifice,9,[]
Grande Fée d'Artifice Multicolore Fontaine,Fée d'artifice,9,[]
Fée d'Artifice Multicolore Fontaine,Fée d'artifice,8,[]
Fée d'Artifice Verte Fontaine,Fée d'artifice,8,[]
Fée d'Artifice Bleue Fontaine,Fée d'artifice,8,[]
Fée d'Artifice Rouge Fontaine,Fée d'artifice,8,[]
Fée d'Artifice Jaune Fontaine,Fée d'artifice,8,[]
Petite Fée d'Artifice Verte Fontaine,Fée d'artifice,7,[]
Petite Fée d'Artifice Multicolore Fontaine,Fée d'artifice,7,[]
Petite Fée d'Artifice Jaune Fontaine,Fée d'artifice,7,[]
Petite Fée d'Artifice Rouge Fontaine,Fée d'artifice,7,[]
Petite Fée d'Artifice Bleue Fontaine,Fée d'artifice,7,[]
Grande Fée d'Artifice Bleue Tournoyante,Fée d'artifice,6,[]
Potion d'oubli Percepteur : Flamme,Potion d'oubli Percepteur,6,"['Ailes de Moskito', 'Guildalogemme', 'Graine collante']"
Potion d'oubli Percepteur : Pods,Potion d'oubli Percepteur,6,"['Argent', 'Lin', 'Bois de Charme', 'Edelweiss', 'Potion de Vieillesse', 'Guildalogemme']"
Grande Fée d'Artifice Rouge Tournoyante,Fée d'artifice,6,[]
Potion d'oubli Percepteur : Cyclone,Potion d'oubli Percepteur,6,"['Tronc de Kokoko', 'Guildalogemme', 'Conque Marine']"
Grande Fée d'Artifice Jaune Tournoyante,Fée d'artifice,6,[]
Potion d'oubli Percepteur : Rocher,Potion d'oubli Percepteur,6,"['Pic du Prespic', 'Griffe du Milimulou', 'Guildalogemme']"
Potion d'oubli Percepteur : Mot Soignant,Potion d'oubli Percepteur,6,"['Guildalogemme', 'Bandelettes', 'Oreille de Kanigrou']"
Potion d'oubli Percepteur : Désenvoutement,Potion d'oubli Percepteur,6,"['Pétale de Rose Démoniaque', 'Guildalogemme', 'Tranche de Tikokoko']"
Potion d'oubli Percepteur : Nombre de percepteur,Potion d'oubli Percepteur,6,"['Pierre de Rubis', 'Potion de Vieillesse', 'Guildalogemme']"
Potion d'oubli Percepteur : Prospection,Potion d'oubli Percepteur,6,"['Potion de Vieillesse', 'Petit Parchemin de Chance', 'Guildalogemme']"
Potion d'oubli Percepteur : Bouclier Protecteur,Potion d'oubli Percepteur,6,"['Oeuf de Dragoeuf de Saphir', 'Guildalogemme', 'Duvet de Bourdard']"
Grande Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,6,[]
Potion d'oubli Percepteur : Compulsion de masse,Potion d'oubli Percepteur,6,"['Os de Chafer', 'Guildalogemme', 'Crocs de Rats']"
Potion d'oubli Percepteur : Puissance,Potion d'oubli Percepteur,6,"[""Parchemin d'Ivoire"", 'Potion de Vieillesse', 'Guildalogemme']"
Grande Fée d'Artifice Verte Tournoyante,Fée d'artifice,6,[]
Potion d'oubli Percepteur : Vague,Potion d'oubli Percepteur,6,"['Aile du Tofu Maléfique', 'Poils de Barbe du Bwork Mage', 'Guildalogemme']"
Potion d'oubli Percepteur : Déstabilisation,Potion d'oubli Percepteur,6,"['Pétale de Rose Démoniaque', 'Guildalogemme', 'Crâne de Chafer']"
Fée d'Artifice Bleue Tournoyante,Fée d'artifice,5,[]
Fée d'Artifice Jaune Tournoyante,Fée d'artifice,5,[]
Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,5,[]
Fée d'Artifice Verte Tournoyante,Fée d'artifice,5,[]
Gâtrool,Viande comestible,5,[]
Fée d'Artifice Rouge Tournoyante,Fée d'artifice,5,[]
Petite Fée d'Artifice Bleue Tournoyante,Fée d'artifice,4,[]
Petite Fée d'Artifice Jaune Tournoyante,Fée d'artifice,4,[]
Petite Fée d'Artifice Rouge Tournoyante,Fée d'artifice,4,[]
Petite Fée d'Artifice Verte Tournoyante,Fée d'artifice,4,[]
Petite Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,4,[]
Grande Fée d'Artifice Jaune,Fée d'artifice,3,[]
Grande Fée d'Artifice Rouge,Fée d'artifice,3,[]
Grande Fée d'Artifice Verte,Fée d'artifice,3,[]
Grande Fée d'Artifice Bleue,Fée d'artifice,3,[]
Grande Fée d'Artifice Multicolore,Fée d'artifice,3,[]
Fée d'Artifice Multicolore,Fée d'artifice,2,[]
Fée d'Artifice Bleue,Fée d'artifice,2,[]
Fée d'Artifice Rouge,Fée d'artifice,2,[]
Fée d'Artifice Verte,Fée d'artifice,2,[]
Fée d'Artifice Jaune,Fée d'artifice,2,[]
Pain d'Amakna,Pain,1,"['Farine de Blé', 'Eau']"
Petit Parchemin de Force,Parchemin de caractéristique,1,[]
Petit Parchemin d'Intelligence,Parchemin de caractéristique,1,[]
Parchemin de Sculpteur d'arcs,Parchemin d'expérience,1,[]
Potion de Vieillesse,Potion,1,"['Feuille de Menthe Sauvage', 'Chanvre']"
Parchemin de Force,Parchemin de caractéristique,1,[]
Puissant Parchemin de Force,Parchemin de caractéristique,1,[]
Puissant Parchemin de Sagesse,Parchemin de caractéristique,1,[]
Parchemin de Vitalité,Parchemin de caractéristique,1,[]
Grand Parchemin de Chance,Parchemin de caractéristique,1,[]
Puissant Parchemin d'Intelligence,Parchemin de caractéristique,1,[]
Clé en Roche de Ded Aléïcar,Potion,1,[]
Parchemin de Cordonnier,Parchemin d'expérience,1,[]
Potion d'oubli : Pile ou Face,Potion d'oubli de sort,1,[]
Potion d'oubli : Perception,Potion d'oubli de sort,1,[]
Potion d'oubli : Réflexes,Potion d'oubli de sort,1,[]
Potion d'oubli : Destin d'Ecaflip,Potion d'oubli de sort,1,[]
Potion d'oubli : Aveuglement,Potion d'oubli de sort,1,[]
Potion d'oubli : Renvoi de Sort,Potion d'oubli de sort,1,[]
Potion d'oubli : Armure Venteuse,Potion d'oubli de sort,1,[]
Potion d'oubli : Retour du Bâton,Potion d'oubli de sort,1,[]
Potion d'oubli : Glyphe Enflammé,Potion d'oubli de sort,1,[]
Potion d'oubli : Epée Divine,Potion d'oubli de sort,1,[]
Potion d'oubli : Friction,Potion d'oubli de sort,1,[]
Potion d'oubli : Précipitation,Potion d'oubli de sort,1,[]
Potion d'oubli : Remblai,Potion d'oubli de sort,1,[]
Potion d'oubli : Roulage de Pelle,Potion d'oubli de sort,1,[]
Potion d'oubli : Maladresse,Potion d'oubli de sort,1,[]
Potion d'oubli : Accélération,Potion d'oubli de sort,1,[]
Potion d'oubli : Crocs du Mulou,Potion d'oubli de sort,1,[]
Potion d'oubli : Concentration de Chakra,Potion d'oubli de sort,1,[]
Potion d'oubli : La Folle,Potion d'oubli de sort,1,[]
Potion d'oubli : Ronce Apaisante,Potion d'oubli de sort,1,[]
Potion d'oubli : La Gonflable,Potion d'oubli de sort,1,[]
Potion d'oubli : Ronces Agressives,Potion d'oubli de sort,1,[]
Potion d'oubli : Ronce Insolente,Potion d'oubli de sort,1,[]
Potion d'oubli : Flèche d'Expiation,Potion d'oubli de sort,1,[]
Potion d'oubli : Flèche Punitive,Potion d'oubli de sort,1,[]
Potion d'oubli : Flèche Persécutrice,Potion d'oubli de sort,1,[]
Potion d'oubli : Mot Drainant,Potion d'oubli de sort,1,[]
Potion d'oubli : Mot Soignant,Potion d'oubli de sort,1,[]
Potion d'oubli : Mot Stimulant,Potion d'oubli de sort,1,[]
Potion d'oubli : Rayon Obscur,Potion d'oubli de sort,1,[]
Potion d'oubli : Flétrissement,Potion d'oubli de sort,1,[]
Potion d'oubli : Poussière Temporelle,Potion d'oubli de sort,1,[]
Potion d'oubli : Momification,Potion d'oubli de sort,1,[]
Potion d'oubli : Châtiment Vitalesque,Potion d'oubli de sort,1,[]
Oeuf de Bwak de terre,Oeuf de familier,1,[]
Potion d'oubli de métier : Bûcheron,Potion d'oubli de métier,1,"['Bois de Châtaignier', 'Potion de Vieillesse']"
potion d'oubli de métier : Sculpteur de Bâton,Potion d'oubli de métier,1,"['Bâton de Boisaille', 'Potion de Vieillesse']"
Potion d'oubli de métier : Paysan,Potion d'oubli de métier,1,"['Farine de Blé', 'Potion de Vieillesse']"
Parchemin d'attitude Lâcher les gaz,Parchemin d'attitude,1,[]
Potion d'oubli de métier : Forgemage de Dagues,Potion d'oubli de métier,1,"['Leurnettes', 'Potion de Vieillesse']"
Potion d'oubli de métier : Forgemage de Haches,Potion d'oubli de métier,1,"['Potion de Vieillesse', 'Hachette Hévlalav']"
Perche sautée ***,Poisson comestible,1,"['Trèfle à 5 feuilles', 'Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Perche vidée', 'Huile à frire']"
Perche sautée  ****,Poisson comestible,1,"['Trèfle à 5 feuilles', 'Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Chaton-perche vidé', 'Huile à frire']"
Sardine à l'huile ****,Poisson comestible,1,"['Citron', 'Sardine Sombre vidée', 'Huile à frire']"
Beignet de Greu-vette ****,Poisson comestible,1,"['Greu-vette Horreur vidé', 'Huile à frire']"
Brochet farci **,Poisson comestible,1,"['Greu-Vette', 'Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Brochet vidé']"
Brochet farci ****,Poisson comestible,1,"['Greu-Vette', 'Mesure de sel', 'Dose de jus goûtu', 'Citron', 'Brochet Tupe-Halett vidé']"
Bière du Feubuk,Bière,1,[]
Cuisse de bouftou rôti ***,Viande comestible,1,"['Dose de jus goûtu', 'Huile à frire', 'Cuisse de Bouftou Conservée ***']"
Bifstèque de Dragoviande ***,Viande comestible,1,"['Mesure de sel', 'Dose de jus goûtu', 'Oignon', 'Dragoviande Conservée ***']"
Wabbit gwillé,Viande comestible,1,"['Huile à frire', 'Épices', 'Mesure de Poivre', 'Cuisse de Wabbit Conservée']"
Wabbit gwillé **,Viande comestible,1,"['Huile à frire', 'Épices', 'Mesure de Poivre', 'Cuisse de Wabbit Conservée **']"
Salade de Museau **,Viande comestible,1,"['Noisette', 'Mesure de sel', 'Feuille de Salace', 'Mesure de Poivre', 'Museau Conservé **']"
Potion d'oubli : Flamiche,Potion d'oubli de sort,1,[]
Potion d'oubli : Libération,Potion d'oubli de sort,1,[]
Bière de la Bagrutte,Bière,1,[]
Potion d'oubli de métier : Poissonnier,Potion d'oubli de métier,1,"['Potion de Vieillesse', 'Poisson pané frit **']"
Petite Fée d'Artifice Multicolore,Fée d'artifice,1,[]
Booden glace,Friandise,1,[]
Bière d'Astrub,Bière,1,[]
Une fiole de Pandaburg,Boisson,1,[]
Une fiole de Pandapiler,Boisson,1,[]
Carré de Chocolat Blanc,Friandise,1,[]
Potion d'oubli : Furie,Potion d'oubli de sort,1,[]
Rune du Chasseur,Pierre magique,1,[]
Rune du Forgeur d'Epées,Pierre magique,1,[]
Rune du Poissonnier,Pierre magique,1,"['Bois de Noyer', ""Carpe d'Iem"", 'Feuille de Salace']"
Rune du Tailleur,Pierre magique,1,"['Chanvre', 'Poisson-Chaton', 'Feuille de Salace']"
